コード,修正機種名,件数,台数,最小値,最大値,合計額,中心価格,前回
p10249,ｅ　東京喰種,0,0,0,0,0,1169021,1128928
p10353,ｅ　新世紀エヴァンゲリオン　～はじまりの記憶～,0,0,0,0,0,891166,932440
p10112,Ｐ大海物語５スペシャル,0,0,0,0,0,851346,911904
p10311,ｅ女神のカフェテラス,0,0,0,0,0,809220,983088
p10305,ｅ牙狼１２黄金騎士極限,0,0,0,0,0,692297,694236
p10429,ｅ　魔法少女まどか☆マギカ３　時間遡行～始まりの願い～,0,0,0,0,0,632307,623333
p10089,ＰＡわんわんパラダイスＣＥＬＥＢＲＡＴＩＯＮ,0,0,0,0,0,594285,698947
p10309,ｅ真・一騎当千～軍神覚醒～３１９大入りｖｅｒ．,0,0,0,0,0,590444,570428
p10197,ＰＡ大海物語５ブラックＬＴ９９ｖｅｒ．,0,0,0,0,0,564210,592666
p10382,ＰＡ清流物語４　ウキウキ７９ｖｅｒ．,0,0,0,0,0,555478,658928
p10154,Ｐネオモンスターハウス　９９Ｖｅｒ．,0,0,0,0,0,538125,544444
p9939,Ｐポチッと一発！おだてブタ２,0,0,0,0,0,466583,480944
p10389,ＰＡ野生の王国６,0,0,0,0,0,448750,453666
p10442,ｅ　乃木坂４６　ＩＩ　ＳＷＥＥＴ　Ｖｅｒｓｉｏｎ,0,0,0,0,0,446666,455000
p10394,ｅようこそ実力至上主義の教室へ,0,0,0,0,0,437739,584050
p10095,Ｐ弾球黙示録カイジ沼５　ざわっ…７９Ｖｅｒ．,0,0,0,0,0,418636,400714
p10069,ＰＡコマコマ倶楽部ｗｉｔｈ坂本冬美　９９確変ループｖｅｒ．,0,0,0,0,0,416250,431470
p10378,Ｐ少女☆歌劇　レヴュースタァライト　９９　ＬＴ３０００,0,0,0,0,0,390000,450000
p10357,ＰＡ海物語　極ＪＡＰＡＮ　Ｗｉｔｈナギナミ,0,0,0,0,0,388071,379400
p10431,Ｐ攻殻機動隊ＳＡＣ＿２０４５　ＬＴ９９ｖｅｒ．,0,0,0,0,0,380000,400000
p10359,ｅ　北斗の拳１１　暴凶星,0,0,0,0,0,368553,395128
p9982,ＰニュートキオＧＲＥＥＮ,0,0,0,0,0,362272,405000
p10403,Ｐ黄門ちゃま寿限無　９９ｖｅｒ．,0,0,0,0,0,362000,325000
p10434,Ｐ　Ｒｅ：ゼロから始める異世界生活　ｓｅａｓｏｎ２　２４９ｖｅｒ．,0,0,0,0,0,353928,380000
