機種ID,メーカーID,メーカー名,パチンコ/スロット区分,PW機種コード,機種名,機種名カナ,検索用機種名カナ,機種グループ,機種ジャンル,販売年月日,予定販売台数,機種URL,MAX設置台数,MAX設置台数記録日,MAX設置店舗数,MAX設置店舗数記録日,備考,登録日時,更新日時,機種タイプ,確変タイプ,確率タイプ,大当り確率,高確率時確率,確変突入率,確変継続率,確変継続率タイプ,潜伏確変有無,賞球数,カウント数,ラウンド数,コインサイズ,機種タイプ,ARTタイプ,1G純増枚数,1G純増枚数タイプ,テーブル管理有無,天井ゲーム数,ボーナス獲得枚数,ART獲得枚数,ボーナス・ART確率,出玉率,型式名,検定日(東京),検定番号,PB機,管理遊技機,機種区分,設定,遊タイム,ラッキートリガー,デカヘソ,PB機,高射幸性機,メダルレス,規則区分,ボーナストリガー,みなし機,メーカーグループID,メーカーグループ名,公示日東京都検定,P区分,S区分,コード
202184,116,-,1,p0000,パチンコ　バラエティ,パチンコバラエティ,パチンコバラエティ,9999,1,,,,1716,42445,17,42438,,2015/11/20 16:40,2015/11/20 16:40,4,1,10,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,分類不可,,C,,0
100001,48,西陣,1,p0002,ウイニングロード,ウイニングロード,ウイニングロード,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,2
100002,49,ニューギン,1,p0003,７ショック,セブンショック,セブンショック,9999,4,,,,9,44860,1,44825,,2014/1/14 10:21,2021/1/26 11:21,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,3
204754,25,サンセイＲ＆Ｄ,1,p0004,スマパチ牙狼GOLD IMPACT,,,9999,1,,,,29,2023/8/30 0:00,1,2023/8/9 0:00,,2023/5/24 10:01,2023/5/24 10:01,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,e機,あり,あり,,,,,,,,,17,サンセイＲ＆Ｄ,,F,,4
100004,21,京楽,1,p0005,ＢＡＲＢＡＲＢＡＲ,バーバーバー,バーバーバー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,,,5
100005,33,大一,1,p0008,フルーツパンチ,フルーツパンチ,フルーツパンチ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,大一,,,,8
100006,79,ＳＡＮＫＹＯ,1,p0009,ＣＲＦギャラクシーγ,ギャラクシー,ギャラクシー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,9
100007,79,ＳＡＮＫＹＯ,1,p0010,ＣＲＦギンガＳＰ,ギンガ,ギンガ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,10
100008,79,ＳＡＮＫＹＯ,1,p0011,ＣＲＦコマンドＳＰ,ゴースト,ゴースト,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,11
100009,79,ＳＡＮＫＹＯ,1,p0012,ＣＲＦネプチューン,ネプチューン,ネプチューン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,12
100010,79,ＳＡＮＫＹＯ,1,p0013,ＣＲＦピンボール,ピンボール,ピンボール,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,13
100011,79,ＳＡＮＫＹＯ,1,p0014,ＣＲＦマッスルＧＰ,マッスル,マッスル,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,14
100012,79,ＳＡＮＫＹＯ,1,p0015,ＣＲＦマッスルＳＰ,マッスル,マッスル,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,15
100013,79,ＳＡＮＫＹＯ,1,p0016,ＣＲＦワールド１,ワールド,ワールド,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,16
100014,79,ＳＡＮＫＹＯ,1,p0017,ＣＲＦワンＧＰ,ワン,ワン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,17
100015,79,ＳＡＮＫＹＯ,1,p0018,ＣＲＦダウンタウン劇場,ダウンタウンゲキジョウ,ダウンタウンゲキジョウ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,18
100016,79,ＳＡＮＫＹＯ,1,p0019,ＣＲＦビッグパワフルＦＸ,ビッグパワフル,ビッグパワフル,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,19
100017,79,ＳＡＮＫＹＯ,1,p0020,ＣＲＦ彩ＤＪ,イロドリ,イロドリ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,20
100018,79,ＳＡＮＫＹＯ,1,p0021,ＣＲＦ億万長者ＳＰ,オクマンチョウジャ,オクマンチョウジャ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,21
100019,49,ニューギン,1,p0022,ＣＲＧ－１,ジーワン,ジーワン,9999,4,,,,1,42739,1,42739,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,22
100020,61,平和,1,p0023,ＣＲＲＹＵ－ＯＨ,リューオウ,リューオウ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,23
100021,25,サンセイＲ＆Ｄ,1,p0024,ＣＲああサラリーマン,アアサラリーマン,アアサラリーマン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,サンセイＲ＆Ｄ,,,,24
100022,16,奥村,1,p0025,ＣＲアシュラ,アシュラ,アシュラ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,25
